seq,stateDt,stateTime,decideCnt,clearCnt,examCnt,deathCnt,careCnt,resutlNegCnt,accExamCnt,accExamCompCnt,accDefRate,createDt,updateDt
79,20200320,0:00,8652,2233,15525,94,6325,292487,316664,301139,2.873091828,15:59.6,
80,20200321,0:00,8799,2612,15704,102,6085,303006,327509,311805,2.82195603,02:58.6,
81,20200322,0:00,8897,2909,14540,104,5884,308343,331780,317240,2.804501324,07:28.3,
82,20200323,0:00,8961,3166,13628,111,5684,315447,338036,324408,2.762262336,27:32.3,
83,20200324,0:00,9037,3507,15440,120,5410,324105,348582,333142,2.712657065,09:30.3,
84,20200324,0:00,9037,3507,15440,120,5410,324105,348582,333142,2.712657065,20:57.6,37:58.6
85,20200325,0:00,9137,3730,14278,126,5281,334481,357896,343618,2.659057442,12:04.0,
86,20200326,0:00,9241,4144,14369,131,4966,341332,364942,350573,2.635970254,40:50.5,
87,20200327,0:00,9332,4528,15219,139,4665,352410,376961,361742,2.579739151,17:01.0,
88,20200328,0:00,9478,4811,16564,144,4523,361883,387925,371361,2.552233541,30:06.1,
89,20200329,0:00,9583,5033,15028,152,4398,369530,394141,379113,2.527742388,10:20.2,
90,20200330,0:00,9661,5228,13531,158,4275,372002,395194,381663,2.531290694,32:34.3,
91,20200331,0:00,9786,5408,16892,162,4216,383886,410564,393672,2.485825764,00:44.4,43:15.1
92,20200401,0:00,9887,5567,16585,165,4155,395075,421547,404962,2.441463644,13:22.2,
93,20200402,0:00,9976,5828,17885,169,3979,403882,431743,413858,2.410488622,09:03.0,
94,20200402,0:00,9976,5828,17885,169,3979,403882,431743,413858,2.410488622,13:00.0,
95,20200403,0:00,10062,6021,18908,174,3867,414303,443273,424365,2.371072072,19:21.2,
96,20200404,0:00,10156,6325,20144,177,3654,424732,455032,434888,2.33531392,32:51.5,
97,20200405,0:00,10237,6463,19571,183,3591,431425,461233,441662,2.317835811,11:59.6,
98,20200406,0:00,10284,6598,19295,186,3500,437225,466804,447509,2.298054341,27:44.4,
99,20200407,0:00,10331,6694,20650,192,3445,446323,477304,456654,2.262325524,12:25.2,
100,20200408,0:00,10384,6776,17858,200,3408,457761,486003,468145,2.218116182,15:42.4,
101,20200409,0:00,10423,6973,15509,204,3246,468779,494711,479202,2.175074395,22:27.3,
102,20200410,0:00,10450,7117,15298,208,3125,477303,503051,487753,2.142477853,15:54.5,
103,20200411,0:00,10480,7243,14070,211,3026,485929,510479,496409,2.111162368,24:11.1,
104,20200412,0:00,10512,7368,13788,214,2930,490321,514621,500833,2.098903227,20:49.5,
105,20200413,0:00,10537,7447,13391,217,2873,494815,518743,505352,2.08508129,14:53.5,
